user_id,restaurant_id,order_date,year,month,day,sales_qty,total_orders,sales_amount,total_sales,currency
82829,224779,2017-10-04,2017,10,4,4,4,9032,9032,INR
76127,294049,2017-10-04,2017,10,4,4,4,1111,1111,INR
36402,440179,2017-10-04,2017,10,4,37,37,16245,16245,INR
56182,549477,2017-10-04,2017,10,4,16,16,4000,4000,INR
30527,12805,2017-10-04,2017,10,4,2,2,1389,1389,INR
13189,538779,2017-10-04,2017,10,4,13,13,1093,1093,INR
60073,354248,2017-10-04,2017,10,4,1,1,440,440,INR
87864,354909,2017-10-04,2017,10,4,2,2,241,241,INR
12948,107530,2017-10-04,2017,10,4,4,4,954,954,INR
85316,497134,2017-10-04,2017,10,4,1,1,46,46,INR
77182,542236,2017-10-04,2017,10,4,2,2,583,583,INR
78428,556923,2017-10-04,2017,10,4,6,6,1907,1907,INR
73867,21473,2017-10-04,2017,10,4,3,3,519,519,INR
87919,35716,2017-10-04,2017,10,4,12,12,3269,3269,INR
27962,466236,2017-10-04,2017,10,4,3,3,2699,2699,INR
72627,213782,2017-10-04,2017,10,4,1,1,1435,1435,INR
59856,239136,2017-10-04,2017,10,4,1,1,56,56,INR
97846,571987,2017-10-04,2017,10,4,5,5,560,560,INR
72105,416204,2017-10-04,2017,10,4,1,1,694,694,INR
82474,557685,2017-10-04,2017,10,4,3,3,2972,2972,INR
9612,481436,2017-10-04,2017,10,4,1,1,435,435,INR
12853,399736,2017-10-04,2017,10,4,6,6,7023,7023,INR
20897,436844,2017-10-04,2017,10,4,1,1,1796,1796,INR
65308,496377,2017-10-04,2017,10,4,2,2,2287,2287,INR
97364,301573,2017-10-04,2017,10,4,6,6,5644,5644,INR
73837,326050,2017-10-04,2017,10,4,1,1,801,801,INR
38608,319509,2017-10-04,2017,10,4,1,1,1412,1412,INR
73590,575772,2017-10-05,2017,10,5,4,4,9190,9190,INR
69947,517181,2017-10-05,2017,10,5,5,5,13199,13199,INR
41803,476909,2017-10-05,2017,10,5,1,1,1644,1644,INR
75353,365925,2017-10-05,2017,10,5,13,13,42954,42954,INR
98205,549106,2017-10-05,2017,10,5,1,1,1514,1514,INR
95450,550689,2017-10-05,2017,10,5,86,86,47528,47528,INR
97224,535273,2017-10-05,2017,10,5,34,34,16565,16565,INR
83706,523292,2017-10-05,2017,10,5,11,11,5019,5019,INR
31399,471209,2017-10-05,2017,10,5,10,10,2750,2750,INR
70627,345404,2017-10-05,2017,10,5,9,9,2333,2333,INR
34291,362858,2017-10-05,2017,10,5,7,7,468,468,INR
1835,474403,2017-10-05,2017,10,5,45,45,2204,2204,INR
67552,235747,2017-10-05,2017,10,5,33,33,1880,1880,INR
21930,442002,2017-10-05,2017,10,5,61,61,5171,5171,INR
14064,503573,2017-10-05,2017,10,5,15,15,1755,1755,INR
51727,54843,2017-10-05,2017,10,5,2,2,241,241,INR
35434,346876,2017-10-05,2017,10,5,1,1,167,167,INR
77011,131919,2017-10-05,2017,10,5,13,13,3403,3403,INR
13273,95025,2017-10-05,2017,10,5,22,22,5866,5866,INR
13053,498137,2017-10-05,2017,10,5,1,1,42,42,INR
10276,484873,2017-10-05,2017,10,5,1,1,46,46,INR
51904,503168,2017-10-05,2017,10,5,3,3,1009,1009,INR
3777,390518,2017-10-05,2017,10,5,1,1,93,93,INR
46978,306488,2017-10-05,2017,10,5,16,16,4060,4060,INR
26392,222109,2017-10-05,2017,10,5,32,32,4259,4259,INR
96078,191516,2017-10-05,2017,10,5,1,1,79,79,INR
62905,29423,2017-10-05,2017,10,5,1,1,42,42,INR
81332,218703,2017-10-05,2017,10,5,1,1,282,282,INR
39631,458633,2017-10-05,2017,10,5,60,60,13903,13903,INR
41840,469623,2017-10-05,2017,10,5,6,6,6556,6556,INR
49110,127900,2017-10-05,2017,10,5,5,5,5190,5190,INR
