id,name,city_orig,city,neighborhood,rating,rating_count,cost,,cuisine,,
38662,Shree Santosh Family Dhaba,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.8,1K+ ratings,₹ 200,200,"North Indian,Chinese",Chinese,North Indian
10251,Amay Tiffin Corner (Amul),"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.9,1K+ ratings,₹ 100,100,South Indian,,
18012,Cafe Coffee Day,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4,100+ ratings,₹ 300,300,"Beverages,Snacks",,
6994,Santosh Dhaba Exclusive,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4,1K+ ratings,₹ 300,300,"North Indian,Biryani",,
7203,Taj Mahal-Abids,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.3,1K+ ratings,₹ 300,300,"North Indian,Chinese",,
82818,Lavish Corner,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.9,500+ ratings,₹ 120,120,"Chinese,Indian",,
3363,Sri Narsing Bhelpuri & Juice Centre (Bogulkunta),"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.2,1K+ ratings,₹ 150,150,"Chaat,Italian",,
56093,G Pulla Reddy Sweets,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.4,100+ ratings,₹ 300,300,"Sweets,Desserts",,
356439,SRI MAHALAXMI DHABA (Delhi Wala),"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,--,Too Few Ratings,₹ 300,300,Indian,,
467214,Khaate Rahoo,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,--,Too Few Ratings,₹ 200,200,"South Indian,Indian",,
56930,Yaariyan,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,--,Too Few Ratings,₹ 400,400,"North Indian,South Indian",,
83631,Bombay Juice,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.2,1K+ ratings,₹ 200,200,"Chaat,Chinese",,
6745,Tibbs Frankie,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.3,100+ ratings,₹ 140,140,"Snacks,Indian",,
41270,Santosh Dhaba (Santosh Castle),"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.5,100+ ratings,₹ 300,300,"North Indian,Biryani",,
8660,Prem Di Rasoi,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.9,50+ ratings,₹ 250,250,"North Indian,Chinese",,
566424,Faasos' Signature Wraps & Rolls,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,--,Too Few Ratings,₹ 350,350,"Snacks,Beverages",,
113368,Balaji Vishnu Sweet House,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,--,Too Few Ratings,₹ 150,150,Sweets,,
560840,Urban Singh,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,--,Too Few Ratings,₹ 400,400,"North Indian,Kebabs",,
500479,Loukya Tasty Hub,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,--,Too Few Ratings,₹ 99,99,"Pizzas,Snacks",,
515291,Chowpatty Chat,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,--,Too Few Ratings,₹ 300,300,"Chinese,Fast Food",,
148766,Temptations,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.5,100+ ratings,₹ 200,200,"Desserts,Beverages",,
538191,Pista House Bakery,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.3,50+ ratings,₹ 500,500,"Biryani,Tandoor",,
82016,Shah Icecream,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4,100+ ratings,₹ 300,300,Ice Cream,,
30934,Bench Cafe & Chinese Restaurant,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.2,100+ ratings,₹ 500,500,"Chinese,Italian",,
48692,Tara,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4,100+ ratings,₹ 300,300,"Chinese,Italian",,
474711,Shabab Bait Al Mandi,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.5,20+ ratings,₹ 500,500,Arabian,,
233050,Faasos - Wraps & Rolls,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.8,100+ ratings,₹ 200,200,"Fast Food,Snacks",,
233051,Behrouz Biryani,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.8,100+ ratings,₹ 500,500,"Biryani,Mughlai",,
377316,Ram Ki Bandi,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,4.1,100+ ratings,₹ 300,300,South Indian,,
233052,Oven Story Pizza,"Abids & Koti,Hyderabad",Hyderabad,Abids & Koti,3.9,500+ ratings,₹ 400,400,Pizzas,,
